line-x,line,mux-x,mux,mux-line-x,mux + line
14.182,74.81481481,13.376,74.69135802,10.614,73.33333333
14.474,74.81481481,14.042,74.69135802,10.747,73.33333333
14.915,74.81481481,14.98,74.69135802,11.16,73.45679012
15.301,75.0617284,14.992,74.69135802,11.313,73.45679012
15.788,75.0617284,15.418,75.43209877,11.524,73.45679012
16.206,75.55555556,15.875,75.43209877,11.623,73.45679012
16.241,75.55555556,16.046,75.43209877,11.744,73.58024691
16.708,75.67901235,16.069,75.43209877,11.804,73.58024691
16.81,75.67901235,16.205,75.43209877,11.919,73.58024691
16.879,75.80246914,16.381,75.43209877,12.121,73.58024691
17.674,75.80246914,16.511,75.43209877,12.183,73.58024691
19.538,75.80246914,16.543,75.43209877,12.267,73.58024691
19.691,75.80246914,16.878,75.43209877,12.276,73.58024691
19.837,75.80246914,17.029,75.43209877,12.372,73.58024691
20.107,75.80246914,17.095,75.43209877,12.385,73.58024691
20.279,75.80246914,17.203,75.43209877,12.49,73.58024691
20.442,75.80246914,17.328,75.43209877,12.534,73.58024691
20.573,75.80246914,17.508,75.43209877,12.613,73.58024691
20.587,76.04938272,17.627,75.43209877,12.857,73.58024691
20.905,76.04938272,17.632,75.43209877,12.859,73.58024691
21.51,76.17283951,17.669,75.43209877,13.019,73.58024691
21.722,76.17283951,17.752,75.43209877,13.138,73.58024691
21.94,76.17283951,17.831,75.43209877,13.142,73.58024691
22.024,76.17283951,17.889,75.43209877,13.226,73.58024691
22.066,76.17283951,18.031,75.43209877,13.656,73.58024691
22.209,76.17283951,18.361,75.43209877,13.795,73.58024691
22.559,76.17283951,18.492,75.43209877,14.026,73.58024691
23.066,76.2962963,18.569,75.43209877,14.154,73.58024691
23.192,76.2962963,18.612,75.43209877,14.393,73.7037037
23.252,76.2962963,19.542,75.43209877,14.666,73.7037037
23.328,76.2962963,19.543,75.55555556,14.768,73.82716049
23.576,76.2962963,19.607,75.55555556,14.992,73.82716049
23.857,76.2962963,20.718,75.55555556,15.188,73.82716049
24.738,76.41975309,20.944,75.55555556,15.649,73.82716049
25.395,77.16049383,21.64,77.16049383,15.739,73.82716049
25.521,77.16049383,21.813,77.16049383,17.262,73.95061728
26.16,77.16049383,21.907,77.16049383,17.481,73.95061728
26.453,77.16049383,22.55,77.16049383,17.646,73.95061728
26.475,77.16049383,22.567,77.16049383,18.111,73.95061728
26.693,77.16049383,22.73,77.16049383,18.329,74.07407407
26.812,77.16049383,22.736,77.16049383,18.609,74.19753086
27,77.16049383,22.919,77.28395062,18.927,74.19753086
27.136,77.16049383,23.174,77.28395062,19.032,74.19753086
27.342,77.16049383,23.255,77.28395062,19.45,74.19753086
27.448,77.16049383,23.326,77.28395062,19.714,74.19753086
27.535,77.16049383,23.579,77.28395062,20.211,74.19753086
28.066,77.16049383,23.851,77.28395062,20.522,74.19753086
28.756,77.16049383,23.918,77.28395062,21.865,74.19753086
28.787,77.16049383,24.05,77.28395062,21.925,74.19753086
28.998,77.40740741,24.138,77.28395062,22.228,74.19753086
29.786,77.40740741,24.26,77.28395062,22.379,74.19753086
30.282,79.01234568,24.313,77.28395062,22.42,74.19753086
30.292,79.01234568,24.334,77.28395062,22.665,74.19753086
30.839,79.01234568,24.524,77.5308642,22.822,74.19753086
30.958,79.01234568,24.64,77.5308642,23.3,74.32098765
30.982,79.01234568,24.655,78.14814815,24.81,74.56790123
31.242,79.01234568,24.823,78.14814815,24.98,74.56790123
31.586,79.01234568,25.17,78.14814815,25.053,74.81481481
31.634,79.01234568,25.22,78.14814815,25.237,75.55555556
31.92,79.75308642,25.586,78.14814815,25.534,75.55555556
31.964,79.75308642,25.612,78.14814815,25.558,75.55555556
32.157,79.75308642,25.92,78.14814815,25.975,75.55555556
32.465,79.75308642,26.068,78.14814815,26.017,75.55555556
32.498,79.75308642,26.387,78.14814815,26.066,75.55555556
32.562,79.75308642,26.399,78.14814815,26.301,75.55555556
32.568,79.75308642,26.503,78.14814815,26.364,75.55555556
32.967,79.75308642,26.516,78.14814815,26.515,75.55555556
33.2,79.75308642,28.077,79.75308642,27.049,75.55555556
33.301,79.75308642,28.193,79.75308642,27.205,75.55555556
33.327,79.75308642,28.194,80.49382716,27.252,75.55555556
33.374,79.75308642,28.256,80.49382716,27.265,75.55555556
34.041,80.37037037,28.317,80.49382716,27.385,75.55555556
34.664,80.37037037,28.531,82.09876543,27.501,76.2962963
35.102,80.37037037,29.163,82.09876543,27.638,76.54320988
35.457,80.37037037,29.173,82.71604938,28.035,76.54320988
35.515,80.37037037,29.318,82.83950617,28.404,76.66666667
35.591,81.72839506,29.442,82.83950617,28.581,76.66666667
35.635,81.72839506,29.545,82.96296296,28.76,76.66666667
37.89,81.72839506,29.889,83.08641975,28.884,76.66666667
37.96,81.72839506,30.087,83.08641975,28.97,76.66666667
38.748,81.72839506,30.967,83.95061728,29.03,76.66666667
38.779,81.72839506,31.558,83.95061728,29.233,76.66666667
38.925,81.72839506,31.589,83.95061728,29.631,76.66666667
40.591,81.72839506,31.64,83.95061728,29.76,76.66666667
40.87,83.33333333,31.708,83.95061728,29.822,76.66666667
41.085,83.33333333,31.757,83.95061728,29.832,77.40740741
41.146,83.33333333,31.846,84.19753086,30.125,77.40740741
41.199,83.95061728,32.042,84.19753086,30.416,77.40740741
41.265,83.95061728,32.139,84.19753086,30.687,77.40740741
41.307,83.95061728,32.2,84.19753086,32.208,77.40740741
41.639,83.95061728,32.295,84.44444444,32.603,77.5308642
42.791,83.95061728,32.451,84.44444444,33.928,77.5308642
42.936,83.95061728,32.458,84.44444444,34.219,77.65432099
43.014,83.95061728,32.688,84.44444444,34.221,77.65432099
43.262,83.95061728,32.733,84.44444444,34.266,78.27160494
43.411,84.56790123,32.753,84.44444444,34.296,78.27160494
43.708,84.56790123,32.803,84.56790123,34.793,78.27160494
44,84.56790123,32.891,84.56790123,35.609,78.27160494
44.937,84.56790123,32.983,84.56790123,35.739,78.27160494
45.554,84.56790123,33.141,84.56790123,37.101,78.27160494
45.771,84.56790123,33.875,84.56790123,37.193,78.27160494
45.9,84.56790123,33.941,84.81481481,37.218,78.27160494
46.042,84.56790123,34.35,84.81481481,37.323,78.27160494
46.468,84.56790123,34.409,84.81481481,37.332,78.27160494
46.695,84.56790123,34.552,84.81481481,37.393,78.27160494
47.408,84.56790123,34.63,84.81481481,37.595,78.27160494
47.47,84.69135802,34.911,84.81481481,38.054,78.27160494
47.52,84.69135802,35.612,84.81481481,38.802,78.39506173
47.536,84.69135802,35.728,84.81481481,39.786,78.39506173
47.566,84.69135802,35.967,84.81481481,39.965,78.39506173
47.812,84.69135802,36.012,84.81481481,39.992,78.39506173
48.318,84.69135802,36.02,84.81481481,40.153,78.39506173
48.722,84.81481481,36.143,84.81481481,40.35,78.39506173
49.936,84.81481481,36.486,84.81481481,41.258,78.39506173
50.593,84.81481481,36.524,84.81481481,41.542,78.39506173
51.194,84.81481481,36.574,84.81481481,41.774,78.39506173
51.441,84.81481481,36.679,84.81481481,41.919,78.39506173
